OBJECTID,TRACT,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,SQ_MILES,Shape_Leng,Shape_Area,FAGI_TOTAL,FAGI_MEDIA,FAGI_TOT_1,FAGI_MED_1,FAGI_TOT_2,FAGI_MED_2,FAGI_TOT_3,FAGI_MED_3,FAGI_TOT_4,FAGI_MED_4,FAGI_TOT_5,FAGI_MED_5
85,000702,11001000702,3364,3259,2751,192,7,224,1,84,31,18,54,3,357,2511,180,3,217,1,16,25,9,49,2,3205,2642,183,7,211,1,69,26,15,48,2,318,2426,172,3,204,1,11,22,8,44,1,2471,2293,178,72.373836929999996,0.113084120000000,2738.796618445936019,292886.528546714980621,86235734.000000000000000,50407.000000000000000,121237434.000000000000000,56357.500000000000000,113045300,52965.000000000000000,116865629.000000000000000,55189.000000000000000,98468564.000000000000000,56642.500000000000000,117499800.000000000000000,58111.000000000000000
86,000801,11001000801,6709,6526,5719,316,5,374,1,111,58,13,118,5,572,5284,299,3,372,1,27,48,15,97,5,5691,4880,278,5,325,0,86,36,19,73,5,476,4506,266,3,323,0,18,30,15,69,5,3528,3207,321,760.095120319999978,1.187648630000000,8440.167934966328176,3075995.837565080262721,556165589.000000000000000,97849.500000000000000,429046240.000000000000000,94346.000000000000000,582273934,94581.000000000000000,932925890.000000000000000,99819.500000000000000,682255278.000000000000000,114495.000000000000000,762051697.000000000000000,122703.000000000000000
87,000802,11001000802,2869,2775,2390,107,4,232,2,40,23,8,62,3,231,2211,98,3,232,2,10,19,6,61,3,2438,2043,89,4,207,2,34,17,8,32,3,187,1898,86,3,207,2,6,14,6,31,3,1423,1336,87,563.044316399999957,0.879756750000000,6636.141911837391490,2278559.521435443311930,211883023.000000000000000,89712.500000000000000,240968712.000000000000000,78663.000000000000000,288028817,83610.000000000000000,342246891.000000000000000,84441.000000000000000,354030099.000000000000000,94580.000000000000000,379610865.000000000000000,94907.000000000000000
88,000901,11001000901,7175,6946,6135,260,16,451,3,81,55,23,152,13,436,5807,249,12,447,3,22,52,22,138,10,6130,5204,233,16,432,3,64,40,22,117,13,382,4919,224,12,428,3,12,38,19,106,10,1661,1558,103,748.364124280000055,1.169318950000000,7095.702946905325007,3028522.180621071718633,610398683.000000000000000,166298.000000000000000,443181730.000000000000000,138978.500000000000000,674640174,153391.000000000000000,754404800.100000023841858,168203.000000000000000,760449847.000000000000000,189371.000000000000000,946256227.000000000000000,197155.000000000000000
89,002802,11001002802,4277,4043,1753,1069,51,181,2,987,65,37,40,9,1843,1125,1034,9,180,1,4,43,18,28,2,3568,1564,854,38,166,2,750,55,32,34,7,1412,1073,834,7,165,1,3,37,17,28,2,2142,1935,207,56.343568240000003,0.088036830000000,2102.606971740658537,228014.332339413143927,76017142.000000000000000,25506.000000000000000,113498858.000000000000000,31154.500000000000000,98267866,28033.500000000000000,104928617.000000000000000,28800.000000000000000,90869593.000000000000000,29954.000000000000000,111655848.000000000000000,34182.000000000000000
90,002900,11001002900,3962,3719,1606,1246,29,125,5,708,52,28,48,11,1370,1159,1213,4,125,5,17,31,11,40,3,3364,1460,1038,20,112,5,542,36,25,34,11,1058,1099,1016,3,112,5,16,23,11,30,3,1643,1448,195,74.708014840000004,0.116731270000000,2357.398917221130432,302332.611458248517010,95743613.000000000000000,29736.000000000000000,137466819.000000000000000,37310.000000000000000,117975868,32774.000000000000000,132985526.000000000000000,35366.000000000000000,134545107.590000003576279,33953.500000000000000,158259296.000000000000000,36677.000000000000000
91,003000,11001003000,3398,3247,1376,1455,5,125,5,281,74,41,46,9,532,1223,1409,2,124,2,7,61,30,43,3,2854,1328,1058,5,121,4,219,57,36,39,8,420,1195,1034,2,120,2,4,46,25,36,3,1599,1489,110,52.365301389999999,0.081820780000000,1881.223518392286906,211914.857479167956626,80525394.000000000000000,36678.500000000000000,108032013.000000000000000,42954.000000000000000,99841782,39491.000000000000000,114641347.260000005364418,40710.500000000000000,96242269.000000000000000,40821.000000000000000,113004657.000000000000000,45303.000000000000000
92,003100,11001003100,2885,2757,949,1086,18,101,0,603,38,24,20,11,1037,652,1056,1,97,0,6,22,9,16,4,2439,856,919,15,92,0,460,31,18,17,10,789,628,894,1,90,0,5,19,8,15,4,1131,1009,122,72.840796010000005,0.113813740000000,2574.255444654942494,294776.244883450330235,60468985.000000000000000,28420.000000000000000,96124283.000000000000000,35170.000000000000000,75002721,31472.500000000000000,86351514.200000002980232,34062.000000000000000,92848628.000000000000000,36878.000000000000000,109392822.000000000000000,39963.000000000000000
93,003200,11001003200,4913,4803,1114,2917,22,92,1,657,56,32,16,1,1188,723,2836,14,92,1,9,37,19,13,0,3957,973,2313,18,83,1,485,40,24,14,1,876,689,2248,11,83,1,8,30,16,11,0,1840,1669,171,109.925966819999999,0.171759320000000,3050.481049752743729,444854.607448458438739,91044809.000000000000000,27905.500000000000000,119332154.000000000000000,31551.000000000000000,103489228,29164.000000000000000,117284066.000000000000000,29825.000000000000000,120006056.000000000000000,32218.000000000000000,139048784.000000000000000,35833.500000000000000
94,009811,11001009811,4365,4293,13,4246,12,4,0,18,65,29,29,2,37,11,4228,10,4,0,12,58,24,26,1,2945,11,2864,9,4,0,14,37,22,15,2,25,9,2853,8,4,0,9,33,18,13,1,1979,1819,160,115.383995819999996,0.180287490000000,3543.404319522629066,466942.467316440073773,36490017.000000000000000,20544.000000000000000,41515657.000000000000000,18977.000000000000000,39029707,20337.000000000000000,39500324.000000000000000,18576.000000000000000,41258037.000000000000000,20195.500000000000000,44315187.000000000000000,20516.000000000000000
95,009901,11001009901,2249,2212,94,2094,15,3,0,6,30,11,6,4,39,74,2081,15,3,0,1,29,10,6,4,1876,84,1745,10,3,0,6,23,11,6,4,30,68,1737,10,3,0,1,22,10,6,4,1070,1007,63,519.404481629999964,0.811569510000000,5944.800739533470733,2101955.374799959361553,70749621.000000000000000,53475.000000000000000,68391309.000000000000000,49969.000000000000000,72050910,48382.000000000000000,71597532.000000000000000,51018.500000000000000,75281959.000000000000000,52425.000000000000000,78879964.000000000000000,51745.000000000000000
