STREETSEGID,BIKEINCIDENTS,PEDINCIDENTS,PEDFATALITIES,LVL1,LVL2,LVL3,RISK_SUM,RISK_INDEX,
1341,2,0,0,0,2,0,6,2,
1344,1,1,0,0,1,0,3,1,
1349,1,1,0,0,1,0,3,1,
1355,1,0,0,0,1,0,3,1,
1358,1,0,0,0,1,0,3,1,
1359,0,1,0,0,0,0,0,1,
1362,2,3,0,1,1,0,4,1,
1366,0,1,0,0,0,0,0,1,
1369,0,2,0,0,0,0,0,1,
1370,0,2,0,0,0,0,0,1,
1371,3,0,0,1,2,0,7,2,
1374,0,1,0,0,0,0,0,1,
1382,0,1,0,0,0,0,0,1,
1383,1,1,0,0,1,0,3,1,
1387,0,2,0,0,0,0,0,1,
1388,2,1,0,0,1,1,6,2,
1391,3,1,0,1,2,0,7,2,
1393,3,2,0,1,2,0,7,2,
1394,1,1,0,0,1,0,3,1,
1398,0,1,0,0,0,0,0,1,
1399,0,1,0,0,0,0,0,1,
1402,0,1,0,0,0,0,0,1,
1403,1,0,0,0,1,0,3,1,
1405,2,0,0,0,2,0,6,2,
1409,0,1,0,0,0,0,0,1,
1413,0,2,0,0,0,0,0,1,
1414,0,1,0,0,0,0,0,1,
1416,0,1,0,0,0,0,0,1,
1420,1,0,0,0,1,0,3,1,
1424,1,0,0,1,0,0,1,1,
1425,1,1,0,1,0,0,1,1,
1429,0,1,0,0,0,0,0,1,
1434,0,1,0,0,0,0,0,1,
1444,1,2,0,1,0,0,1,1,
1445,0,4,0,0,0,0,0,1,
1446,1,1,0,0,1,0,3,1,
1447,0,1,0,0,0,0,0,1,
1448,1,4,0,0,1,0,3,1,
1449,0,2,0,0,0,0,0,1,
1453,0,1,0,0,0,0,0,1,
1455,0,1,0,0,0,0,0,1,
1459,0,2,0,0,0,0,0,1,
1469,0,1,0,0,0,0,0,1,
1474,0,1,0,0,0,0,0,1,
1476,0,1,0,0,0,0,0,1,
1478,1,0,0,0,1,0,3,1,
1479,1,6,0,0,0,1,3,1,
1490,1,2,0,1,0,0,1,1,
1503,0,1,0,0,0,0,0,1,
1504,2,3,0,1,1,0,4,1,
1506,0,1,0,0,0,0,0,1,
1508,1,0,0,0,1,0,3,1,
1509,0,2,0,0,0,0,0,1,
1512,1,0,0,0,1,0,3,1,
1514,1,1,0,1,0,0,1,1,
1524,1,3,0,0,1,0,3,1,
1526,1,0,0,0,1,0,3,1,
1528,1,1,0,0,1,0,3,1,
1535,1,0,0,0,1,0,3,1,
1537,0,1,0,0,0,0,0,1,
1540,1,0,0,0,1,0,3,1,
1541,2,0,0,2,0,0,2,1,
1543,0,1,0,0,0,0,0,1,
1547,0,1,0,0,0,0,0,1,
1551,1,0,0,0,1,0,3,1,
1553,1,0,0,0,1,0,3,1,
1556,0,1,0,0,0,0,0,1,
1559,1,1,0,0,1,0,3,1,
1562,4,3,0,2,1,1,8,2,
1564,0,1,0,0,0,0,0,1,
1573,0,1,0,0,0,0,0,1,
1577,2,2,0,0,2,0,6,2,
1578,1,0,0,1,0,0,1,1,
1579,1,1,0,0,1,0,3,1,
1580,0,1,0,0,0,0,0,1,
1582,1,0,0,1,0,0,1,1,
1583,0,1,0,0,0,0,0,1,
1586,0,2,0,0,0,0,0,1,
1587,0,1,0,0,0,0,0,1,
1588,0,2,0,0,0,0,0,1,
1589,1,0,0,0,1,0,3,1,
1597,1,0,0,0,1,0,3,1,
1600,0,1,0,0,0,0,0,1,
1603,1,3,0,0,1,0,3,1,
1605,0,5,0,0,0,0,0,1,
1610,0,1,0,0,0,0,0,1,
1617,1,3,0,1,0,0,1,1,
1618,0,1,0,0,0,0,0,1,
1620,1,0,0,1,0,0,1,1,
1629,0,3,0,0,0,0,0,1,
1634,0,2,0,0,0,0,0,1,
1642,0,1,0,0,0,0,0,1,
1646,1,0,0,1,0,0,1,1,
1647,0,1,0,0,0,0,0,1,
1651,1,0,0,0,1,0,3,1,
1654,0,1,0,0,0,0,0,1,
1656,3,5,0,0,1,2,9,2,
1657,0,1,0,0,0,0,0,1,
1658,1,0,0,0,1,0,3,1,
1660,0,1,0,0,0,0,0,1,
1662,2,3,0,0,2,0,6,2,
1664,0,2,0,0,0,0,0,1,
1666,0,2,0,0,0,0,0,1,
1668,0,3,0,0,0,0,0,1,
1674,1,0,0,0,1,0,3,1,
1681,5,0,0,0,5,0,15,3,
1682,0,5,0,0,0,0,0,1,
1683,1,0,0,0,1,0,3,1,
1686,0,1,0,0,0,0,0,1,
1689,1,0,0,0,1,0,3,1,
1694,0,1,0,0,0,0,0,1,
1697,0,1,0,0,0,0,0,1,
1699,0,1,0,0,0,0,0,1,
1700,0,2,0,0,0,0,0,1,
1704,0,1,0,0,0,0,0,1,
1706,1,0,0,0,1,0,3,1,
1707,1,1,0,1,0,0,1,1,
1708,1,0,0,1,0,0,1,1,
1710,0,1,0,0,0,0,0,1,
1715,0,2,0,0,0,0,0,1,
1716,2,3,0,1,1,0,4,1,
1717,1,0,0,0,1,0,3,1,
1719,0,2,0,0,0,0,0,1,
1721,1,2,0,0,1,0,3,1,
1730,0,1,0,0,0,0,0,1,
1731,0,1,0,0,0,0,0,1,
1733,0,1,0,0,0,0,0,1,
1740,2,1,0,0,2,0,6,2,
1742,0,1,0,0,0,0,0,1,
1746,0,2,0,0,0,0,0,1,
1748,1,3,0,0,1,0,3,1,
1749,2,1,0,1,1,0,4,1,
1750,0,1,0,0,0,0,0,1,
1751,0,1,0,0,0,0,0,1,
1754,2,2,0,1,1,0,4,1,
1759,1,1,0,1,0,0,1,1,
1765,1,0,0,0,1,0,3,1,
1773,2,2,0,0,2,0,6,2,
1778,0,1,0,0,0,0,0,1,
1780,2,0,0,1,1,0,4,1,
1783,0,1,0,0,0,0,0,1,
1784,0,1,0,0,0,0,0,1,
1785,0,1,0,0,0,0,0,1,
1788,0,1,0,0,0,0,0,1,
1790,1,0,0,0,1,0,3,1,
1791,1,0,0,0,1,0,3,1,
1795,1,0,0,1,0,0,1,1,
1801,0,1,0,0,0,0,0,1,
1803,0,1,0,0,0,0,0,1,
1804,10,3,0,1,9,0,28,3,
1807,0,1,0,0,0,0,0,1,
1812,0,2,0,0,0,0,0,1,
1814,1,2,0,1,0,0,1,1,
1816,0,1,0,0,0,0,0,1,
1820,5,5,0,3,2,0,9,2,
1829,1,1,0,1,0,0,1,1,
